university stn,university hyp,text stn,text hyp,sentence,hypothesis,prediction,contradiction
University of Illinois - Urbana Champaign,Columbia University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The individual will have a 4 Mbps bandwidth rate limit,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')",0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless",define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), traffic('dns'), service(email)",0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",FTP and SFTP traffic is allowed for all students,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0,0
University of Illinois - Urbana Champaign,Cornell University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students have 200 GB of Free monthly usage,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('200', 'gb/mth')",0,0
University of Illinois - Urbana Champaign,University of Texas - Austin,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Faculty members have 500 Gb per week of free network use,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('staff') set quota('500', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,North Dakota State University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students have a quota of 5 GB per day. The quota is reset at 6am,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('5','gb/d') start hour(06:00)",0,0
University of Illinois - Urbana Champaign,Rutgers University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Internet is limited to 3 Mbps per host,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '3', 'mbps')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",P2P application is separately capped at 30 Mbps for the entire campus,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Guests' network is rate-limited to 5 Mb/s per user,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0,0
University of Illinois - Urbana Champaign,Missouri State University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('dorms') set quota('200','gb/wk') ",0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"Currently, the University of Illinois does not have any rate limits",Guests cannot run any file sharing/downloading program,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('hosts') block service('file sharing'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",University Housing monitors only the amount of traffic of each user,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",FTP server is allowed by the University firewall,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"Currently, the University of Illinois does not have any rate limits",Students data limit is 100 GB per week,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') set quota('100', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,Columbia University,"Currently, the University of Illinois does not have any rate limits",Students 5000 Megabyte per hr download quotas are on 10 AM to Midnight,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') set quota('10', 'gb/d') start hour(10:00) end hour('00:00')",0,1
University of Illinois - Urbana Champaign,Rutgers University,"Currently, the University of Illinois does not have any rate limits",The system passively monitors the network throughput when traffic is light,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('gateway') add middlebox('traffic monitor'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"Currently, the University of Illinois does not have any rate limits","There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless",define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') set quota('6', 'gb/d') start hour('00:00') end hour('23:59')",0,0
University of Illinois - Urbana Champaign,Carnegie Mellon University,"Currently, the University of Illinois does not have any rate limits","No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link",define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('gateway') set quota('5000', 'mb/h')",0,0
University of Illinois - Urbana Champaign,Carnegie Mellon University,"Currently, the University of Illinois does not have any rate limits",The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('hosts') add middlebox('overuse notification') set quota('10', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,Columbia University,"Currently, the University of Illinois does not have any rate limits",Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"Currently, the University of Illinois does not have any rate limits","When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",0,1
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"Currently, the University of Illinois does not have any rate limits",The individual will have a 4 Mbps bandwidth rate limit,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')",0,1
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"Currently, the University of Illinois does not have any rate limits","You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless",define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), traffic('dns'), service(email)",0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0,0
University of Illinois - Urbana Champaign,Cornell University,"Currently, the University of Illinois does not have any rate limits",Students have 200 GB of Free monthly usage,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') set quota('200', 'gb/mth')",0,0
University of Illinois - Urbana Champaign,University of Texas - Austin,"Currently, the University of Illinois does not have any rate limits",Faculty members have 500 Gb per week of free network use,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('staff') set quota('500', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,North Dakota State University,"Currently, the University of Illinois does not have any rate limits",Students have a quota of 5 GB per day. The quota is reset at 6am,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') set quota('5','gb/d') start hour(06:00)",0,0
University of Illinois - Urbana Champaign,Rutgers University,"Currently, the University of Illinois does not have any rate limits",Internet is limited to 3 Mbps per host,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '3', 'mbps')",0,1
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"Currently, the University of Illinois does not have any rate limits",P2P application is separately capped at 30 Mbps for the entire campus,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')",0,1
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"Currently, the University of Illinois does not have any rate limits",Guests' network is rate-limited to 5 Mb/s per user,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0,1
University of Illinois - Urbana Champaign,Missouri State University,"Currently, the University of Illinois does not have any rate limits",The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for endpoint('dorms') set quota('200','gb/wk') ",0,0
University of Illinois - Chicago,University of Illinois - Urbana Champaign,Guests cannot run any file sharing/downloading program,University Housing monitors only the amount of traffic of each user,define intent uniIntent: for endpoint('hosts') block service('file sharing'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),0,0
University of Illinois - Chicago,University of Illinois - Urbana Champaign,Guests cannot run any file sharing/downloading program,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('hosts') block service('file sharing'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0,0
University of Illinois - Chicago,University of Illinois - Urbana Champaign,Guests cannot run any file sharing/downloading program,FTP server is allowed by the University firewall,define intent uniIntent: for endpoint('hosts') block service('file sharing'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0,0
University of Illinois - Chicago,Rose-Hulman Institute of Technology,Guests cannot run any file sharing/downloading program,Students data limit is 100 GB per week,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('students') set quota('100', 'gb/wk')",0,0
University of Illinois - Chicago,Columbia University,Guests cannot run any file sharing/downloading program,Students 5000 Megabyte per hr download quotas are on 10 AM to Midnight,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('students') set quota('10', 'gb/d') start hour(10:00) end hour('00:00')",0,0
University of Illinois - Chicago,Rutgers University,Guests cannot run any file sharing/downloading program,The system passively monitors the network throughput when traffic is light,define intent uniIntent: for endpoint('hosts') block service('file sharing'),define intent uniIntent: for endpoint('gateway') add middlebox('traffic monitor'),0,0
University of Illinois - Chicago,University of Illinois - Chicago,Guests cannot run any file sharing/downloading program,"There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless",define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') set quota('6', 'gb/d') start hour('00:00') end hour('23:59')",0,0
University of Illinois - Chicago,Carnegie Mellon University,Guests cannot run any file sharing/downloading program,"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link",define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('gateway') set quota('5000', 'mb/h')",0,0
University of Illinois - Chicago,Carnegie Mellon University,Guests cannot run any file sharing/downloading program,The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('hosts') add middlebox('overuse notification') set quota('10', 'gb/wk')",0,0
University of Illinois - Chicago,Columbia University,Guests cannot run any file sharing/downloading program,Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",0,0
University of Illinois - Chicago,Rose-Hulman Institute of Technology,Guests cannot run any file sharing/downloading program,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",0,0
University of Illinois - Chicago,Rose-Hulman Institute of Technology,Guests cannot run any file sharing/downloading program,The individual will have a 4 Mbps bandwidth rate limit,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')",0,0
University of Illinois - Chicago,University of Illinois - Chicago,Guests cannot run any file sharing/downloading program,"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless",define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), traffic('dns'), service(email)",0,0
University of Illinois - Chicago,University of Illinois - Urbana Champaign,Guests cannot run any file sharing/downloading program,FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0,0
University of Illinois - Chicago,Cornell University,Guests cannot run any file sharing/downloading program,Students have 200 GB of Free monthly usage,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('students') set quota('200', 'gb/mth')",0,0
University of Illinois - Chicago,University of Texas - Austin,Guests cannot run any file sharing/downloading program,Faculty members have 500 Gb per week of free network use,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('staff') set quota('500', 'gb/wk')",0,0
University of Illinois - Chicago,North Dakota State University,Guests cannot run any file sharing/downloading program,Students have a quota of 5 GB per day. The quota is reset at 6am,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('students') set quota('5','gb/d') start hour(06:00)",0,0
University of Illinois - Chicago,Rutgers University,Guests cannot run any file sharing/downloading program,Internet is limited to 3 Mbps per host,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '3', 'mbps')",0,0
University of Illinois - Chicago,Rose-Hulman Institute of Technology,Guests cannot run any file sharing/downloading program,P2P application is separately capped at 30 Mbps for the entire campus,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')",1,1
University of Illinois - Chicago,Rose-Hulman Institute of Technology,Guests cannot run any file sharing/downloading program,Guests' network is rate-limited to 5 Mb/s per user,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0,0
University of Illinois - Chicago,Missouri State University,Guests cannot run any file sharing/downloading program,The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('dorms') set quota('200','gb/wk') ",0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,FTP server is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,University Housing monitors only the amount of traffic of each user,Students data limit is 100 GB per week,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') set quota('100', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,Columbia University,University Housing monitors only the amount of traffic of each user,Students 5000 Megabyte per hr download quotas are on 10 AM to Midnight,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') set quota('10', 'gb/d') start hour(10:00) end hour('00:00')",0,0
University of Illinois - Urbana Champaign,Rutgers University,University Housing monitors only the amount of traffic of each user,The system passively monitors the network throughput when traffic is light,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('gateway') add middlebox('traffic monitor'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,University Housing monitors only the amount of traffic of each user,"There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless",define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') set quota('6', 'gb/d') start hour('00:00') end hour('23:59')",0,0
University of Illinois - Urbana Champaign,Carnegie Mellon University,University Housing monitors only the amount of traffic of each user,"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link",define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('gateway') set quota('5000', 'mb/h')",0,0
University of Illinois - Urbana Champaign,Carnegie Mellon University,University Housing monitors only the amount of traffic of each user,The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('hosts') add middlebox('overuse notification') set quota('10', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,Columbia University,University Housing monitors only the amount of traffic of each user,Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,University Housing monitors only the amount of traffic of each user,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,University Housing monitors only the amount of traffic of each user,The individual will have a 4 Mbps bandwidth rate limit,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')",0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,University Housing monitors only the amount of traffic of each user,"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless",define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), traffic('dns'), service(email)",0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0,0
University of Illinois - Urbana Champaign,Cornell University,University Housing monitors only the amount of traffic of each user,Students have 200 GB of Free monthly usage,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') set quota('200', 'gb/mth')",0,0
University of Illinois - Urbana Champaign,University of Texas - Austin,University Housing monitors only the amount of traffic of each user,Faculty members have 500 Gb per week of free network use,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('staff') set quota('500', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,North Dakota State University,University Housing monitors only the amount of traffic of each user,Students have a quota of 5 GB per day. The quota is reset at 6am,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') set quota('5','gb/d') start hour(06:00)",0,0
University of Illinois - Urbana Champaign,Rutgers University,University Housing monitors only the amount of traffic of each user,Internet is limited to 3 Mbps per host,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '3', 'mbps')",0,0
