hypothesis,sentence,type,contradiction,prediction,features
define intent hypIntent: for group('students') add middlebox('load-balancer') start hour('21:26') end hour('2:46'),"define intent stnIntent: for group('students') remove middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') start hour('16:45') end hour('20:48')",time,0,0,"[1, 5, 1, 0, 1, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('student_residence') remove middlebox('parental-control'), middlebox('ids'), middlebox('load-balancer'), middlebox('dpi') set quota('3', 'gb/wk') block protocol('https'), service('bittorrent')","define intent stnIntent: for group('dorms') add middlebox('parental-control'), middlebox('ids'), middlebox('dpi') set quota('1', 'gb/wk') allow service('instagram'), service('netflix')",synonym,1,0,"[1, 5, 0, 0, 2, 1, 0, 1.0, 0.6260678058592886, 0.3516041317079731, 0, 0, 1.0]"
"define intent hypIntent: for group('professors') set bandwidth('max', '30', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.24') set bandwidth('max', '70', 'mbps')",qos,1,0,"[1, 5, 1, 0, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0]"
"define intent hypIntent: for group('professors') remove middlebox('dpi'), middlebox('firewall'), middlebox('ids'), middlebox('parental-control') block protocol('https'), service('netflix')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.21') add middlebox('ids') allow traffic('streaming'),domain,1,0,"[1, 5, 1, 0, 2, 0, 0, 0.0, 0, 0.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.174') remove middlebox('load-balancer'), middlebox('dpi'), middlebox('ids'), middlebox('firewall'), middlebox('parental-control') set bandwidth('max', '40', 'mbps') block traffic('peer2peer'), protocol('quic')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.166') add middlebox('firewall'), middlebox('load-balancer'), middlebox('parental-control'), middlebox('dpi'), middlebox('ids') set bandwidth('max', '40', 'mbps') allow traffic('streaming'), service('netflix')",hierarchical,1,0,"[1, 5, 1, 0, 2, 0, 1, 0.5783145496176769, 0, 1.0, 0.4855904475742499, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.70') add middlebox('parental-control'), middlebox('load-balancer'), middlebox('ids'), middlebox('dpi'), middlebox('firewall') set bandwidth('max', '50', 'mbps') block service('facebook'), service('bittorrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.166') add middlebox('parental-control'), middlebox('dpi'), middlebox('load-balancer') set bandwidth('max', '30', 'mbps') block service('instagram'), service('facebook')",path,0,0,"[0, 2, 1, 0, 0, 0, 0, 0.6892736882129267, 0.5348474783137586, 1.0, 0, 0, 0.33729505277183147]"
"define intent hypIntent: for group('students') add middlebox('load-balancer'), middlebox('dpi'), middlebox('parental-control'), middlebox('firewall') set bandwidth('max', '20', 'mbps') block protocol('udp'), service('bittorrent') start hour('18:22') end hour('2:14')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') remove middlebox('ids') unset quota('7', 'gb/wk') allow protocol('smtp'), service('youtube') start hour('18:39') end hour('3:14')",time,1,0,"[1, 5, 1, 0, 3, 0, 0, 0.0, 0.601841064076147, 0.0, 0, 0.1769148539258433, 0.30894633570391095]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.31.139') set quota('7', 'gb/wk') allow protocol('quic'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.31.138') set bandwidth('max', '80', 'mbps') allow service('instagram')",hierarchical,0,0,"[1, 5, 1, 0, 0, 0, 1, 0.7479874587818769, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.14') remove middlebox('load-balancer'), middlebox('ids'), middlebox('dpi'), middlebox('firewall') set bandwidth('min', '40', 'mbps') block protocol('tcp'), service('facebook')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('dpi'), middlebox('firewall'), middlebox('ids'), middlebox('parental-control') set bandwidth('max', '70', 'mbps') allow service('youtube'), traffic('streaming')",hierarchical,1,0,"[1, 5, 1, 0, 2, 0, 1, 0.6769948846434568, 0.5367762002549679, 1.0, 0, 0, 0.37079212932417294]"
"define intent hypIntent: for group('dorms') remove middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer') set quota('8', 'gb/wk') block protocol('https'), traffic('social-media') start hour('18:40') end hour('2:10')","define intent stnIntent: for group('dorms') add middlebox('load-balancer'), middlebox('ids') set quota('8', 'gb/wk') allow service('facebook'), service('netflix') start hour('18:44') end hour('3:19')",time,1,0,"[1, 5, 0, 0, 2, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('professors') remove middlebox('dpi'), middlebox('load-balancer') set quota('4', 'gb/wk') start hour('21:35') end hour('3:21')","define intent stnIntent: for group('professors') add middlebox('load-balancer'), middlebox('dpi'), middlebox('ids'), middlebox('parental-control'), middlebox('firewall') unset quota('3', 'gb/wk') start hour('16:3') end hour('20:4')",path,0,0,"[1, 5, 0, 0, 2, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.112') set quota('5', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.105') unset quota('7', 'gb/wk')",qos,0,0,"[1, 5, 0, 0, 1, 0, 1, 0.78285568293316, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('students') remove middlebox('ids'), middlebox('firewall') set quota('4', 'gb/wk') block protocol('sftp'), traffic('peer2peer')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.5') add middlebox('firewall'), middlebox('parental-control') set quota('9', 'gb/wk') allow service('instagram'), service('bittorrent')",domain,1,0,"[1, 5, 0, 0, 2, 0, 0, 0.0, 0, 0.0, 0, 0, 0]"
"define intent hypIntent: for group('professors') remove middlebox('load-balancer'), middlebox('ids'), middlebox('dpi') set bandwidth('min', '90', 'mbps')","define intent stnIntent: for group('professors') add middlebox('firewall') set quota('9', 'gb/wk')",negation,0,0,"[1, 5, 1, 0, 1, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.86') remove middlebox('ids'), middlebox('load-balancer') set quota('7', 'gb/wk') start hour('17:51') end hour('2:44')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.17.85') add middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall') set quota('2', 'gb/wk') start hour('18:46') end hour('3:25')",time,1,0,"[1, 5, 0, 0, 1, 0, 0, 0.6319340879279447, 0, 1.0, 0, 0, 0]"
