dataset,model,k-fold,fit time,validation time,precision,recall,f1
1000,svm,8,25.21514391899109,0.005849123001098633,0.7901160464185675,0.79,0.78997899789979
1000,svm,9,19.62199091911316,0.0055811405181884766,0.8806089743589745,0.88,0.879951980792317
1000,svm,10,22.95397186279297,0.008203983306884766,0.7206809583858764,0.71,0.7064480210547626
1000,log,1,0.06557679176330566,0.0040018558502197266,0.8333333333333334,0.8300000000000001,0.8295739348370927
1000,log,2,0.06708002090454102,0.0036330223083496094,0.7627154266498528,0.75,0.7469379491851402
1000,log,3,0.06331181526184082,0.0037941932678222656,0.8019323671497585,0.8,0.7996794871794872
1000,log,4,0.06055593490600586,0.004682064056396484,0.7957976336189311,0.79,0.7889659330720531
1000,log,5,0.06595826148986816,0.003695964813232422,0.7415458937198067,0.74,0.7395833333333335
1000,log,6,0.06435608863830566,0.004302024841308594,0.8019323671497585,0.8,0.7996794871794872
1000,log,7,0.06754922866821289,0.005514860153198242,0.7901160464185675,0.79,0.78997899789979
1000,log,8,0.06081509590148926,0.003694772720336914,0.7709755118426336,0.77,0.769792813532179
1000,log,9,0.06109881401062012,0.0040171146392822266,0.8246753246753247,0.8200000000000001,0.8193496587715776
1000,log,10,0.0672600269317627,0.003696918487548828,0.7232142857142857,0.72,0.7189883580891208
1000,forest,1,0.028391122817993164,0.007309913635253906,0.88,0.88,0.88
1000,forest,2,0.03086090087890625,0.0067059993743896484,0.8449675324675325,0.8400000000000001,0.839421918908069
1000,forest,3,0.028998136520385742,0.0071697235107421875,0.8605769230769231,0.86,0.8599439775910365
1000,forest,4,0.0317690372467041,0.007643938064575195,0.8405448717948718,0.84,0.8399359743897559
1000,forest,5,0.027185916900634766,0.006555080413818359,0.8652597402597402,0.8600000000000001,0.8594941790445605
1000,forest,6,0.028522968292236328,0.0067768096923828125,0.8914090726615818,0.89,0.8899009108197378
1000,forest,7,0.028588056564331055,0.007834196090698242,0.89015606242497,0.89,0.88998899889989
1000,forest,8,0.031950950622558594,0.007400989532470703,0.885551948051948,0.8799999999999999,0.8795664391810518
1000,forest,9,0.03841996192932129,0.009139060974121094,0.9206730769230769,0.9199999999999999,0.919967987194878
1000,forest,10,0.029002904891967773,0.008346080780029297,0.8501400560224089,0.85,0.84998499849985
