hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: for group('professors') remove middlebox('load-balancer'), middlebox('firewall'), middlebox('dpi'), middlebox('ids') block protocol('tcp'), traffic('social-media')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.29') add middlebox('parental-control'), middlebox('dpi') allow service('youtube'), service('netflix')",domain,1,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 1, 2, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.5') remove middlebox('parental-control') set quota('5', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('load-balancer'), middlebox('ids'), middlebox('firewall'), middlebox('parental-control') set quota('3', 'gb/wk')",hierarchical,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('professors') set bandwidth('max', '10', 'mbps')","define intent stnIntent: for group('professors') set bandwidth('max', '60', 'mbps')",qos,1,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 2, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.120') set quota('5', 'gb/wk') block service('amazon-prime'), traffic('torrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.117') set quota('1', 'gb/wk') allow traffic('torrent'), service('youtube')",hierarchical,1,1,"[1.0, 1.0, 0.39882830657455226, 1.0, 1.0, 0, 0, 0, 1, 1, 1, 1, 5]"
"define intent hypIntent: for group('dorms') add middlebox('ids') set bandwidth('max', '80', 'mbps') block service('vimeo'), protocol('http')","define intent stnIntent: for group('dorms') remove middlebox('firewall') set quota('1', 'gb/wk') block traffic('social-media'), protocol('ftp')",negation,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.106') set quota('5', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.114') set quota('2', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.114') remove middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('ids') set bandwidth('max', '10', 'mbps') block traffic('torrent'), service('youtube') start timestamp('2019-01-25 18:13:54.699764') end timestamp('2019-01-26 02:41:54.699769')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.106') add middlebox('parental-control'), middlebox('load-balancer'), middlebox('firewall'), middlebox('ids'), middlebox('dpi') set bandwidth('max', '90', 'mbps') allow traffic('torrent'), traffic('streaming') start timestamp('2019-01-25 17:14:54.699741') end timestamp('2019-01-26 03:46:54.699758')",time,1,1,"[1.0, 1.0, 0, 1.0, 0.5578496808918569, 9.466666668055556, 0, 1, 2, 1, 0, 1, 5]"
"define intent hypIntent: for group('professors') add middlebox('load-balancer'), middlebox('parental-control'), middlebox('dpi'), middlebox('ids') set quota('3', 'gb/wk') block service('vimeo'), traffic('social-media')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.29') add middlebox('dpi'), middlebox('parental-control'), middlebox('load-balancer'), middlebox('ids'), middlebox('firewall') set bandwidth('min', '20', 'mbps') allow protocol('quic'), protocol('https')",negation,0,0,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 1, 1, 1, 0, 0, 5]"
"define intent hypIntent: for group('dorms') add middlebox('parental-control'), middlebox('dpi') block traffic('peer2peer'), service('popcorn-time') start timestamp('2019-01-25 21:58:45.533878') end timestamp('2019-01-26 03:44:45.533898')","define intent stnIntent: for group('dorms') remove middlebox('firewall') allow traffic('peer2peer'), service('youtube') start timestamp('2019-01-25 16:05:45.533828') end timestamp('2019-01-25 20:54:45.533862')",time,0,1,"[1.0, 1.0, 0.3293954744816613, 1.0, 1.0, 0, 0.6819427859876516, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('ids'), middlebox('parental-control') set quota('2', 'gb/wk') block service('amazon-prime'), protocol('quic')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.47') add middlebox('firewall'), middlebox('ids') set quota('3', 'gb/wk') allow protocol('sftp'), traffic('streaming')",domain,1,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 2, 1, 0, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('dpi'), middlebox('load-balancer') set bandwidth('min', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') add middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('ids'), middlebox('load-balancer') set bandwidth('min', '30', 'mbps')",negation,1,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 1, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.52') remove middlebox('dpi'), middlebox('firewall'), middlebox('parental-control'), middlebox('load-balancer'), middlebox('ids') set bandwidth('max', '80', 'mbps') block service('vimeo'), service('bittorrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.56') add middlebox('firewall'), middlebox('dpi'), middlebox('ids'), middlebox('parental-control') set bandwidth('min', '10', 'mbps') allow service('vimeo'), traffic('streaming')",negation,1,1,"[1.0, 1.0, 0.5695095848270609, 1.0, 0, 0, 0.10537209537394576, 0, 2, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.34') remove middlebox('parental-control'), middlebox('dpi'), middlebox('firewall') allow protocol('tcp'), traffic('torrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.26') remove middlebox('firewall'), middlebox('ids'), middlebox('dpi'), middlebox('load-balancer') allow protocol('snmp')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.35') remove middlebox('ids'), middlebox('dpi'), middlebox('firewall') set quota('7', 'gb/wk') block traffic('peer2peer'), service('instagram')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.26') add middlebox('dpi'), middlebox('load-balancer'), middlebox('firewall'), middlebox('ids') set quota('2', 'gb/wk') allow service('amazon-prime'), service('bittorrent')",hierarchical,1,1,"[1.0, 1.0, 0.6927166989236211, 1.0, 0, 0, 0.30894633570391095, 0, 2, 1, 0, 1, 5]"
"define intent hypIntent: for group('staff') remove middlebox('load-balancer') set quota('2', 'gb/wk') block protocol('tcp'), service('instagram')","define intent stnIntent: for group('staff') add middlebox('ids') set bandwidth('min', '40', 'mbps') allow service('stremio'), traffic('torrent')",negation,0,0,"[1.0, 1.0, 0.735058922279092, 1.0, 0, 0, 0.19478983913517922, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.109') remove middlebox('ids') set bandwidth('max', '80', 'mbps') block traffic('peer2peer'), protocol('icmp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.114') add middlebox('parental-control'), middlebox('firewall'), middlebox('load-balancer'), middlebox('dpi') set quota('2', 'gb/wk') block service('vimeo'), traffic('torrent')",negation,0,0,"[1.0, 1.0, 0, 1.0, 0.6488924230007598, 0, 0, 1, 1, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.153') add middlebox('load-balancer'), middlebox('firewall'), middlebox('parental-control'), middlebox('ids') set bandwidth('min', '30', 'mbps') block service('amazon-prime'), traffic('torrent') start timestamp('2019-01-25 17:46:50.148789') end timestamp('2019-01-26 03:02:50.148794')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.152') remove middlebox('dpi') set bandwidth('max', '30', 'mbps') allow service('facebook'), service('youtube') start timestamp('2019-01-25 18:27:50.148756') end timestamp('2019-01-26 02:57:50.148782')",time,1,1,"[1.0, 1.0, 0.39882830657455226, 1.0, 0, 9.500000007222223, 0.3787589715385559, 1, 2, 1, 0, 0, 5]"
"define intent hypIntent: for group('staff') remove middlebox('ids'), middlebox('dpi'), middlebox('load-balancer') block service('amazon-prime'), traffic('streaming')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.178') add middlebox('dpi') allow service('amazon-prime'),domain,0,0,"[0.0, 0.0, 1.0, 0.0, 0, 0, 0.28248267019709405, 1, 2, 0, 0, 0, 2]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.31') add middlebox('load-balancer'), middlebox('firewall') set quota('1', 'gb/wk') block protocol('smtp'), protocol('udp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.26') add middlebox('load-balancer'), middlebox('dpi') set bandwidth('min', '70', 'mbps') block protocol('https'), traffic('streaming')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('min', '70', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.9') set bandwidth('min', '90', 'mbps')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 0, 0, 5]"
"define intent hypIntent: for group('dorms') unset quota('8', 'gb/wk')","define intent stnIntent: for group('dorms') set quota('4', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.183') remove middlebox('ids') set quota('1', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.173') add middlebox('dpi') set bandwidth('max', '50', 'mbps')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('staff') unset quota('2', 'gb/wk')","define intent stnIntent: for group('staff') set quota('9', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 1, 0, 5]"
"define intent hypIntent: for group('students') remove middlebox('dpi'), middlebox('ids') set bandwidth('min', '20', 'mbps')","define intent stnIntent: for group('students') remove middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer'), middlebox('ids'), middlebox('parental-control') set quota('2', 'gb/wk')",negation,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 1, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('parental-control'), middlebox('firewall'), middlebox('ids'), middlebox('dpi') block protocol('telnet'), traffic('torrent') start timestamp('2019-01-25 22:21:46.961241') end timestamp('2019-01-26 03:28:46.961247')","define intent stnIntent: for group('dorms') add middlebox('load-balancer'), middlebox('ids'), middlebox('dpi') allow protocol('tcp'), service('bittorrent') start timestamp('2019-01-25 16:42:46.961209') end timestamp('2019-01-25 21:29:46.961231')",time,0,0,"[1.0, 1.0, 0, 1.0, 0, 0.13333333055555552, 0, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.20') set quota('7', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.21') set quota('9', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 0, 0, 5]"
"define intent hypIntent: for group('faculty') add middlebox('parental-control'), middlebox('firewall')","define intent stnIntent: for group('staff') add middlebox('load-balancer'), middlebox('ids'), middlebox('firewall'), middlebox('parental-control')",synonym,0,0,"[1.0, 1.0, 0, 0.7235375605134609, 0, 0, 0, 1, 0, 1, 1, 0, 5]"
"define intent hypIntent: for group('faculty') remove middlebox('ids'), middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall') set quota('2', 'gb/wk') block protocol('tcp'), service('bittorrent')","define intent stnIntent: for group('staff') add middlebox('dpi'), middlebox('parental-control'), middlebox('firewall'), middlebox('ids') set quota('5', 'gb/wk') allow protocol('snmp'), service('instagram')",synonym,1,1,"[1.0, 1.0, 0.6927166989236211, 0.7235375605134609, 0, 0, 0.30894633570391095, 0, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('staff') remove middlebox('ids'), middlebox('dpi'), middlebox('load-balancer'), middlebox('firewall'), middlebox('parental-control') unset bandwidth('max', '70', 'mbps') block service('amazon-prime'), protocol('https') start timestamp('2019-01-25 17:44:56.238108') end timestamp('2019-01-26 02:56:56.238114')","define intent stnIntent: for group('staff') add middlebox('firewall'), middlebox('dpi'), middlebox('parental-control') set bandwidth('max', '50', 'mbps') allow traffic('torrent'), service('instagram') start timestamp('2019-01-25 18:31:56.238079') end timestamp('2019-01-26 02:27:56.238102')",time,1,1,"[1.0, 1.0, 0.4997795429756144, 1.0, 0, 8.933333339722221, 1.0, 1, 3, 1, 1, 0, 5]"
"define intent hypIntent: for group('students') add middlebox('dpi'), middlebox('firewall') set bandwidth('max', '60', 'mbps') block protocol('https'), protocol('icmp') start timestamp('2019-01-25 18:41:24.519043') end timestamp('2019-01-26 04:06:24.519048')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') remove middlebox('load-balancer') set bandwidth('max', '30', 'mbps') allow protocol('sftp'), traffic('social-media') start timestamp('2019-01-25 17:37:24.519010') end timestamp('2019-01-26 02:41:24.519035')",time,1,1,"[0.0, 0.0, 0, 0.0, 0, 8.999999997777778, 0, 1, 2, 1, 0, 0, 5]"
"define intent hypIntent: for group('students') set bandwidth('max', '10', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.12') set bandwidth('max', '30', 'mbps')",qos,1,0,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 1, 0, 1, 0, 0, 5]"
"define intent hypIntent: for group('professors') add middlebox('firewall') set quota('5', 'gb/wk') block service('stremio'), protocol('ftp')","define intent stnIntent: for group('professors') add middlebox('firewall'), middlebox('ids'), middlebox('load-balancer'), middlebox('parental-control') set bandwidth('min', '90', 'mbps') allow protocol('tcp'), service('netflix')",negation,0,0,"[1.0, 1.0, 0.6732380436627197, 1.0, 0, 0, 0.37079212932417294, 1, 1, 1, 2, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('firewall'), middlebox('ids'), middlebox('dpi'), middlebox('parental-control') block traffic('torrent'), service('facebook') start timestamp('2019-01-25 22:35:17.733459') end timestamp('2019-01-26 03:17:17.733465')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.41') add middlebox('firewall') allow protocol('tcp'), service('facebook') start timestamp('2019-01-25 16:15:17.733387') end timestamp('2019-01-25 22:09:17.733446')",time,0,1,"[0.0, 0.0, 1.0, 0.0, 0, 0.5666666630555555, 0.37079212932417294, 1, 2, 1, 0, 0, 5]"
"define intent hypIntent: for group('students') remove middlebox('dpi') set quota('5', 'gb/wk') block traffic('social-media'), traffic('streaming') start timestamp('2019-01-25 18:36:25.619928') end timestamp('2019-01-26 03:21:25.619933')","define intent stnIntent: for group('students') add middlebox('firewall'), middlebox('load-balancer'), middlebox('dpi'), middlebox('parental-control') set quota('7', 'gb/wk') allow traffic('torrent'), traffic('streaming') start timestamp('2019-01-25 18:39:25.619900') end timestamp('2019-01-26 03:10:25.619922')",time,1,1,"[1.0, 1.0, 0, 1.0, 1.0, 9.516666672777777, 0, 0, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('prof') remove middlebox('dpi'), middlebox('ids'), middlebox('load-balancer') set quota('2', 'gb/wk') block traffic('peer2peer'), service('stremio')","define intent stnIntent: for group('professors') add middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') set quota('6', 'gb/wk') allow traffic('streaming'), service('bittorrent')",synonym,1,1,"[1.0, 1.0, 0.7955379610609296, 0.5339977351212731, 0.4855904475742499, 0, 0.6352196413803582, 0, 2, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.34') set bandwidth('max', '70', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.26') set quota('8', 'gb/wk')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.168') remove middlebox('dpi') unset quota('3', 'gb/wk') block traffic('torrent'), service('netflix') start timestamp('2019-01-25 22:51:45.461208') end timestamp('2019-01-26 03:03:45.461213')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.31.130') add middlebox('dpi') set bandwidth('max', '20', 'mbps') allow service('stremio'), protocol('ftp') start timestamp('2019-01-25 15:18:45.461183') end timestamp('2019-01-25 21:30:45.461201')",non_coreferent,0,0,"[1.0, 1.0, 0.6732380436627197, 1.0, 0, 0, 1.0, 1, 3, 1, 0, 0, 3]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.62') set bandwidth('min', '90', 'mbps') block traffic('torrent'), service('netflix')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.60') set bandwidth('max', '90', 'mbps') allow service('popcorn-time'), service('netflix')",hierarchical,1,0,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('professors') remove middlebox('parental-control'), middlebox('dpi'), middlebox('ids'), middlebox('firewall'), middlebox('load-balancer') block service('amazon-prime'), service('stremio') start timestamp('2019-01-25 22:47:31.969977') end timestamp('2019-01-26 02:43:31.969998')","define intent stnIntent: for group('professors') add middlebox('ids'), middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') block protocol('quic'), protocol('ftp') start timestamp('2019-01-25 16:41:31.969777') end timestamp('2019-01-25 22:03:31.969935')",time,0,0,"[1.0, 1.0, 0, 1.0, 0, 0.266666655, 0, 1, 1, 1, 2, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') remove middlebox('ids'), middlebox('parental-control'), middlebox('firewall'), middlebox('load-balancer'), middlebox('dpi') set quota('4', 'gb/wk') block service('vimeo'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.37') add middlebox('firewall') set quota('8', 'gb/wk') allow service('vimeo'), protocol('smtp')",hierarchical,1,1,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0.6819427859876516, 0, 2, 1, 0, 1, 5]"
"define intent hypIntent: for group('professors') unset quota('6', 'gb/wk')","define intent stnIntent: for group('professors') set quota('9', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 2, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.165') set quota('7', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.170') unset bandwidth('min', '40', 'mbps')",qos,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 0, 0, 5]"
"define intent hypIntent: for group('dormitory') set bandwidth('min', '10', 'mbps') block service('vimeo'), traffic('torrent')","define intent stnIntent: for group('dorms') set bandwidth('max', '40', 'mbps') allow service('vimeo'), traffic('torrent')",synonym,1,0,"[1.0, 1.0, 1.0, 0.3935372908539091, 1.0, 0, 0, 1, 1, 1, 3, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.183') add middlebox('ids') set bandwidth('min', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.173') remove middlebox('dpi'), middlebox('firewall') set bandwidth('min', '10', 'mbps')",hierarchical,0,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.30') add middlebox('firewall'), middlebox('load-balancer'), middlebox('parental-control') set quota('2', 'gb/wk') allow service('facebook'), service('netflix')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.26') add middlebox('ids'), middlebox('dpi'), middlebox('load-balancer') set bandwidth('max', '20', 'mbps') block protocol('icmp'), service('popcorn-time')",hierarchical,0,0,"[1.0, 1.0, 0.4698510852733538, 1.0, 0, 0, 0.6352196413803582, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') set quota('4', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.8') unset quota('4', 'gb/wk')",qos,0,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 0, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall'), middlebox('ids') set bandwidth('max', '80', 'mbps') block service('facebook'), service('bittorrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') add middlebox('parental-control') set bandwidth('min', '70', 'mbps') allow service('facebook'), traffic('streaming')",domain,0,0,"[0.0, 0.0, 0.5348474783137586, 0.0, 0, 0, 0.10537209537394576, 0, 2, 1, 0, 0, 4]"
"define intent hypIntent: for group('professors') remove middlebox('dpi'), middlebox('parental-control'), middlebox('load-balancer'), middlebox('firewall') set quota('5', 'gb/wk') block protocol('quic'), traffic('torrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.162') add middlebox('dpi'), middlebox('load-balancer') set quota('7', 'gb/wk') allow protocol('snmp'), service('bittorrent')",domain,0,0,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 2, 0, 0, 0, 2]"
"define intent hypIntent: for group('students') add middlebox('load-balancer'), middlebox('parental-control') set bandwidth('min', '20', 'mbps')","define intent stnIntent: for group('students') add middlebox('dpi') set quota('9', 'gb/wk')",negation,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 1, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('parental-control'), middlebox('ids') block service('vimeo'), traffic('streaming') start timestamp('2019-01-25 21:53:32.672739') end timestamp('2019-01-26 04:04:32.672744')","define intent stnIntent: for group('dorms') add middlebox('dpi'), middlebox('load-balancer'), middlebox('ids') allow service('stremio'), protocol('smtp') start timestamp('2019-01-25 16:22:32.672728') end timestamp('2019-01-25 21:01:32.672734')",time,0,0,"[1.0, 1.0, 0.5936408534221981, 1.0, 0, 0.13333333194444452, 1.0, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('hall') remove middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi'), middlebox('ids'), middlebox('firewall') set bandwidth('min', '60', 'mbps') block service('stremio'), service('youtube')","define intent stnIntent: for group('dorms') add middlebox('parental-control'), middlebox('dpi') set bandwidth('max', '20', 'mbps') allow service('stremio'), service('netflix')",synonym,1,0,"[1.0, 1.0, 0.644163727539538, 0.25868322601258575, 0, 0, 0.6819427859876516, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('staff') unset quota('6', 'gb/wk')","define intent stnIntent: for group('staff') unset bandwidth('max', '70', 'mbps')",qos,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.121') set bandwidth('min', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.125') set quota('5', 'gb/wk')",qos,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 0, 0, 5]"
"define intent hypIntent: for group('students') remove middlebox('firewall'), middlebox('ids') set bandwidth('min', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer'), middlebox('ids') set bandwidth('min', '60', 'mbps')",domain,1,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 1, 1, 0, 0, 5]"
