university,sentence text,hypothesis text,sentence nile,hypothesis nile,type,conflict,features,prediction
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",HTTP and HTTPS are allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",IMAP and secure IMAP are allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits","MSN audio and video communications are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked",define intent uniIntent: for endpoint('university') unset bandwidth(),"define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",Net2Phone is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",PC-Telephone is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",POP3 and secure POP are allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",SMTP is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",Sony Playstation 2 is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",SSH is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",Telnet is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('Telnet'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",Sorenson Videophone 200 is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sorenson Videophone 200'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",FTP and SFTP servers are allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('ftp'), protocol('sftp')",path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,AIM chat and file transfering is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,HTTP and HTTPS are allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,IMAP and secure IMAP are allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,"MSN audio and video communications are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked",define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,Net2Phone is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,PC-Telephone is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,POP3 and secure POP are allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,SMTP is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,Sony Playstation 2 is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,SSH is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,Telnet is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('Telnet'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,Sorenson Videophone 200 is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sorenson Videophone 200'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,FTP and SFTP servers are allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('ftp'), protocol('sftp')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.5355094812048101, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,AIM chat and file transfering is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",negation,0,"[2, 1, 1440.0, 1, 1, 0, 0, 1.0, 2, 0.9573662609734592, 3, 0, 0, 0, 0, 0, 0, 1.0, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),negation,0,"[2, 1, 1440.0, 1, 1, 0, 0, 1.0, 2, 0.7029470291565453, 2, 0, 0, 0, 0, 0, 0, 1.0, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),negation,0,"[2, 1, 1440.0, 1, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1.0, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),negation,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0.5389628120773851, 2, 0, 0, 0, 0, 0, 0, 1.0, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,HTTP and HTTPS are allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",negation,0,"[2, 1, 1440.0, 1, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 1.0, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,IMAP and secure IMAP are allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",negation,0,"[2, 1, 1440.0, 1, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 1.0, 2]",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,"MSN audio and video communications are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked",define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",negation,0,"[2, 1, 1440.0, 1, 1, 0, 0, 1.0, 2, 2.4957047374755015, 6, 0, 0, 0, 0, 0, 0, 1.0, 2]",0
