sentence university,hypothesis university,sentence text,hypothesis text,sentence nile,hypothesis nile,type,amibiguity,features,prediction
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Net2Phone is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",PC-Telephone is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",POP3 and secure POP are allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",SMTP is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Sony Playstation 2 is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",SSH is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Telnet is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('Telnet'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Sorenson Videophone 200 is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sorenson Videophone 200'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",FTP and SFTP servers are allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('ftp'), protocol('sftp')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students data limit is 100 GB per week,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('download', '100', 'gb/wk')",path,0,"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Columbia University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students 10 GB a day download quotas are on 10 AM to Midnight,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('download', '10', 'gb/d') start hour('10:00') end hour('23:59')",path,0,"[5, 1, 840.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Rutgers University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The system passively monitors the network throughput when traffic is light,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') add middlebox('traffic monitor'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.5807857594179606, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('dorms'), endpoint('wireless') set quota('any', '6', 'gb/d') start hour('00:00') end hour('23:59')",qos,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Guests cannot run any file sharing/downloading program,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('guests') block service('file transfer'),path,0,"[2, 1, 1440.0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Carnegie Mellon University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('network') set quota('any', '10', 'gb/d')",qos,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Carnegie Mellon University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('network') add middlebox('overuse notification') set quota('any', '10', 'gb/wk')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.36076779334962994, 2]",0
University of Illinois - Urbana Champaign,Columbia University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",qos,0,"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Massachusetts Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Routers or anything else that does routing or NAT are prohibited from MITNet as they interfere with the operation of the network,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('dorms') block protocol('nat'),path,0,"[3, 1, 1440.0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('host') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",qos,0,"[5, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The individual will have a 4 Mbps bandwidth rate limit,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('host') set bandwidth('max', '4', 'mbps')",path,0,"[5, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: from endpoint('guests') to endpoint('servers') for group('host') block traffic('any'),path,0,"[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('dorms'), endpoint('wireless') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), protocol('dns'), service('email')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 4, 0, 1]",0
University of Illinois - Urbana Champaign,Cornell University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students have 200 GB of Free monthly usage,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('download', '200', 'gb/mth')",qos,0,"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,University of Texas - Austin,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Faculty members have 500 Gb per week of free network use,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('professors') set quota('download', '500', 'gb/wk')",qos,0,"[4, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,North Dakota State University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students have a quota of 5 GB per day The quota is reset at 6am,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('download', '5','gb/d') start hour('06:00') end('05:59')",path,0,"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Rutgers University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Internet is limited to 3 Mbps per host,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('host') set bandwidth('max', '3', 'mbps')",qos,0,"[5, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",P2P application is separately capped at 30 Mbps for the entire campus,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for traffic ('peer2peer'), endpoint('campus') set bandwidth('max', '30', 'mbps')",qos,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Guests' network is rate-limited to 5 Mb/s per user,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('guests') set bandwidth('max', '5', 'mbps')",qos,0,"[2, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Missouri State University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for group('dorms') set quota('any', '200', 'gb/wk') ",qos,0,"[3, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,University of Washington,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",These network security changes include blocking traffic from the Internet into the UW network over FTP,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: from endpoint('internet') to endpoint('network') block protocol('ftp') ,path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0
University of Illinois - Urbana Champaign,University of Michigan - Ann Harbor,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","Elements of network security currently include the following four solutions: Network Border Infrastructure System, Intrusion Prevention System, Firewalls, and Custom Unit Firewalls",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('network') add middlebox('network border system'), middlebox('ips'), middlebox('firewall'), middlebox('unit firewall') ",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1.3949457405736199, 5]",0
University of Illinois - Urbana Champaign,University of California - San Diego,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",ACT/IT Infrastructure monitors traffic on the network for the purpose of maintaining proper network function,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') add middlebox('traffic monitor') ,negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.5807857594179606, 2]",0
University of Illinois - Urbana Champaign,Brown University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","CIS restricts traffic that is known to cause damage to the network or hosts on it, such as NETBIOS",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') block service('NETBIOS'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Brown University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",All network traffic passing in or out of Brown's network is monitored by an intrusion detection system for signs of compromises,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') add middlebox('traffic monitor') ,negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.5807857594179606, 2]",0
University of Illinois - Urbana Champaign,New York University,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","You may not run any services (e.g., FTP services, listservers, P2P file sharing servers, publishing files via generic file services, etc.) via NYU's ResNet or NYURoam wireless networks",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('dorms'), endpoint('wireless') block protocol('ftp'), service('listserver'), traffic('peer2peer')",path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",0
University of Illinois - Urbana Champaign,Penn State University - University Park,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Housing does not normally limit the amount of bandwidth,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('dorms') unset bandwidth(),qos,0,"[3, 1, 1440.0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Univeristy of Virginia,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","The UVA More Secure Network uses a firewall, a network security device designed to help protect your computer from hackers and other malicious people on the Internet.",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') add middlebox('firewall'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.36628511456271917, 2]",0
University of Illinois - Urbana Champaign,Univeristy of Virginia,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","The network firewall does prevent some applications from working in their normal manner, for example, video and audio conferencing products that use the H.323",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') block traffic('H323 video conferencing'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,Univeristy of California - Davis,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The UC Davis network is continually scanned for prohibited activities and network threats.,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('network') add middlebox('traffic monitor'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.5807857594179606, 2]",0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",University Housing monitors only the amount of traffic of each user,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.39402225732192897, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0
