sentence,hypothesis,features,amibiguity
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.21') allow service('CounterStrike'), service('Battlenet')",define intent hypIntent: for group('students') block service('Battlenet') traffic('file sharing'),"[4, 1, 1440.0, 1, 0, 0, 0, 0, 2, 1.532230608844488, 3, 0, 1, 0, 1, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '4', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('network border system'), middlebox('load balancer'), middlebox('overuse notification')","[5, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: for group('dorms') set bandwidth('min', '70', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('min', '90', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.25') unset bandwidth('max', '90', 'mbps') start hour('04:40') end hour('11:30')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('upload', '1', 'gb/wk') start hour('17:20') end hour('18:20')","[3, 1, 0, 1, 0, 1, 0, 2.652708393435852, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') allow traffic('peer2peer'), traffic('video conference')","define intent hypIntent: for group('guests') block traffic('any'), traffic('video conference')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1.5586118631115218, 4, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') add middlebox('copyright monitoring'),define intent hypIntent: for group('students') add middlebox('copyright monitoring'),"[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set bandwidth('min', '50', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('max', '90', 'mbps')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') allow service('youtube') traffic('gaming'),define intent hypIntent: for group('students') block service('stremio') traffic('any'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0.28632775217993356, 2, 1, 2, -0.04261886079583654, 2, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.88'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.238792896610178, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set quota('upload', '5', 'gb/wk')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') allow traffic('any') protocol('http'),"[2, 1, 1440.0, 0, 0, 1, 0, 2.649042521910644, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: for group('dorms') set quota('upload', '1', 'gb/wk')","define intent hypIntent: for group('hall') set quota('any', '5', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') add middlebox('network border system'), middlebox('dpi'), middlebox('ids')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.59') remove middlebox('load balancer'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.2439319802889894, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.9784563194136855, 4]",0
define intent stnIntent: for group('dorms') add middlebox('ips'),"define intent hypIntent: for group('hall') remove middlebox('firewall'), middlebox('ips'), middlebox('dpi')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.99832667313848, 4]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '70', 'mbps')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') allow traffic('any') protocol('smtp'),"[4, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: for group('guests') set bandwidth('max', '50', 'mbps') start hour('11:30') end hour('15:30')","define intent hypIntent: for group('guests') set bandwidth('max', '40', 'mbps')","[5, 0, 241.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set bandwidth('min', '20', 'mbps')","define intent hypIntent: for group('students') unset quota('upload', '2', 'gb/wk')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('students') allow service('vimeo') traffic('email'),define intent hypIntent: for group('pupil') block service('Sony Playstation 2') protocol('secure POP'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.2870360938051261, 2, 0, 2, 0, 1, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('network border system'), middlebox('ips'), middlebox('ids')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.8') add middlebox('parental control'), middlebox('overuse notification')","[5, 1, 1440.0, 0, 0, 1, 0, 2.9243574056146713, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.5101060393219474, 5]",0
"define intent stnIntent: for group('students') add middlebox('ids'), middlebox('overuse notification'), middlebox('parental control')","define intent hypIntent: for group('students') remove middlebox('load balancer'), middlebox('parental control')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.8529754550968294, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') allow service('Net2Phone'), service('vimeo')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.72') block service('popcorn time') protocol('sftp'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.2349257685279844, 4, 0.4292405329208753, 3, 0, 0, 0, 0, 0, 1, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('max', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.70') set bandwidth('min', '90', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.3805298978798897, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('download', '8', 'gb/wk')","define intent hypIntent: for group('dorms') set bandwidth('min', '30', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') set bandwidth('min', '80', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.61') set bandwidth('min', '30', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.3619307860755643, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') unset bandwidth('max', '40', 'mbps')","define intent hypIntent: for group('guests') unset bandwidth('min', '80', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('guests') allow service('MSN application sharing') protocol('udp'),define intent hypIntent: for group('guests') block service('stremio') protocol('secure POP'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.16946910403071602, 2, 1, 2, 0, 0, 0.31511788348896286, 2, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') add middlebox('parental control'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.73') remove middlebox('ips'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.388529334286819, 4, 0, 0, 0, 0, 0, 0, 0, 0, -0.002455239549313296, 2]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') allow service('MSN video') protocol('icmp'),define intent hypIntent: for group('guests') block service('facebook') protocol('tcp'),"[3, 1, 1440.0, 1, 0, 1, 1, 0, 2, 0.3022147374544936, 2, 0, 1, 0, 0, 0.4243121837245646, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set quota('download', '5', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('min', '40', 'mbps')","[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('any', '7', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set quota('any', '3', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 3.4616025769757073, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') allow service('irc') traffic('any') start hour('06:00') end hour('09:30'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.53') allow service('PC Telephone') traffic('H323 video conferencing') start hour('14:00') end hour('15:30'),"[4, 1, 0, 0, 0, 1, 1, 3.5161216863489653, 4, 0.2826516977941858, 2, 0, 0, 0.10317894927633131, 2, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set quota('any', '2', 'gb/wk')","define intent hypIntent: for group('guest users') set quota('upload', '7', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.93') unset quota('download', '3', 'gb/wk') start hour('06:10') end hour('11:00')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') unset bandwidth('min', '50', 'mbps') start hour('14:20') end hour('18:00')","[3, 1, 0, 0, 0, 1, 0, 3.2617152437807464, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow service('amazon prime video') traffic('torrent'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.47') block protocol('http'), protocol('https')","[5, 1, 1440.0, 1, 0, 1, 1, 3.5819591495377994, 4, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: for group('students') add middlebox('overuse notification'), middlebox('firewall'), middlebox('load balancer') start hour('05:20') end hour('11:30')",define intent hypIntent: for group('students') add middlebox('load balancer') start hour('14:30') end hour('18:30'),"[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.021719447083668, 4]",0
"define intent stnIntent: for group('students') add middlebox('unit firewall'), middlebox('overuse notification'), middlebox('load balancer')","define intent hypIntent: for group('pupil') remove middlebox('load balancer'), middlebox('firewall'), middlebox('ips')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.171090504841336, 6]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') add middlebox('parental control'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.30') add middlebox('unit firewall'), middlebox('dpi')","[5, 1, 1440.0, 0, 0, 1, 0, 2.250607948622949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.49597437811655576, 3]",0
define intent stnIntent: for group('students') allow service('popcorn time') traffic('voip'),define intent hypIntent: for group('scholar') block traffic('H323 video conferencing') protocol('http'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0.22415759680271666, 2, 0, 1, 0, 0]",1
"define intent stnIntent: for group('dorms') add middlebox('dpi'), middlebox('firewall'), middlebox('traffics monitor')","define intent hypIntent: for group('student residence') remove middlebox('load balancer'), middlebox('ips')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2.369817758826615, 5]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('download', '2', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.10') set quota('download', '4', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.188713976784815, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('guests') allow service('irc') traffic('voip'),define intent hypIntent: for group('guest networks') allow service('NETBIOS') protocol('telnet'),"[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0.1392905257082246, 2, 0, 2, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.69') add middlebox('ids'), middlebox('ips'), middlebox('overuse notification')","define intent hypIntent: for group('guests') remove middlebox('overuse notification'), middlebox('copyright monitoring'), middlebox('firewall')","[4, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.3466100360166475, 6]",1
"define intent stnIntent: for group('students') add middlebox('unit firewall'), middlebox('network border system')","define intent hypIntent: for group('students') add middlebox('dpi'), middlebox('network border system')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.6993836519418541, 4]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('firewall'), middlebox('copyright monitoring'), middlebox('ips')","define intent hypIntent: for group('dorms') remove middlebox('ids'), middlebox('parental control'), middlebox('firewall')","[3, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.5681643212095593, 6]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') set bandwidth('min', '50', 'mbps') start hour('02:00') end hour('14:30')","define intent hypIntent: for group('students') unset quota('upload', '9', 'gb/wk') start hour('15:40') end hour('17:10')","[5, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') add middlebox('parental control'), middlebox('ids'), middlebox('network border system')","define intent hypIntent: for group('students') remove middlebox('ips'), middlebox('network border system'), middlebox('firewall')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.902765414407405, 6]",1
"define intent stnIntent: for group('guests') add middlebox('overuse notification'), middlebox('network border system'), middlebox('traffics monitor') start hour('02:30') end hour('14:00')","define intent hypIntent: for group('guests') add middlebox('traffics monitor'), middlebox('network border system'), middlebox('ids') start hour('17:10') end hour('18:10')","[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 4.022646040571721, 6]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('min', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.9') set bandwidth('min', '80', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.8694993873285437, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') block service('Sony Playstation 2'), service('instagram') start hour('02:00') end hour('12:40')",define intent hypIntent: for group('dorms') block service('MSN chat') traffic('file sharing') start hour('14:10') end hour('17:40'),"[5, 1, 0, 0, 1, 1, 0, 0, 0, 0.7562410702558192, 3, 1, 2, 0, 1, 0, 0, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('listserver') protocol('nat') start hour('12:30') end hour('14:40'),define intent hypIntent: for group('dorms') block service('CounterStrike') protocol('nat'),"[5, 1, 131.0, 1, 1, 1, 0, 0, 0, 0.18287120583080882, 2, 1, 2, 0, 0, 1.0, 2, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('upload', '1', 'gb/wk')","define intent hypIntent: for group('guests') unset bandwidth('min', '10', 'mbps')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('max', '40', 'mbps') start hour('08:20') end hour('14:30')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') set bandwidth('max', '10', 'mbps') start hour('09:00') end hour('16:10')","[3, 0, 331.0, 0, 0, 0, 0, 1.8036481174100532, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('upload', '9', 'gb/wk') start hour('04:10') end hour('10:40')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set quota('any', '5', 'gb/wk') start hour('15:40') end hour('18:20')","[3, 0, 0, 0, 0, 1, 0, 3.192439651426129, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow service('MSN application sharing') protocol('quic'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.48') block traffic('social media') protocol('udp'),"[5, 1, 1440.0, 1, 0, 1, 1, 3.4343372161949755, 4, 0, 1, 0, 0, 0, 1, 0.5454053290391111, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('download', '7', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.8') set quota('upload', '7', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.9243574056146713, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') add middlebox('copyright monitoring'), middlebox('ids'), middlebox('overuse notification')","define intent hypIntent: for group('student') remove middlebox('ips'), middlebox('copyright monitoring'), middlebox('load balancer')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3.6283451962326385, 6]",1
"define intent stnIntent: for group('students') set quota('upload', '6', 'gb/wk')","define intent hypIntent: for group('scholarly person') set quota('upload', '4', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') set bandwidth('max', '90', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('max', '40', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.44') set bandwidth('max', '80', 'mbps') start hour('06:40') end hour('13:10')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('min', '10', 'mbps') start hour('16:20') end hour('17:00')","[3, 0, 0, 0, 0, 1, 0, 3.2965275495361817, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') allow service('MSN application sharing') start hour('09:40') end hour('18:10'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') block service('Battlenet') protocol('http') start hour('11:00') end hour('14:10'),"[3, 1, 191.0, 1, 0, 0, 1, 3.5567225358904384, 4, 0.5322143365432802, 2, 0, 0, 0, 0, 0, 1, 0, 0]",1
define intent stnIntent: for group('dorms') allow service('AIM chat') traffic('streaming') add middlebox('firewall'),define intent hypIntent: for group('dorms') allow service('instagram') protocol('secure POP'),"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0.4992238348017308, 2, 1, 2, 0, 1, 0, 1, 0, 1]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('any', '1', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('download', '7', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set bandwidth('min', '70', 'mbps')",define intent stnIntent: for group('students') add middlebox('traffics monitor'),"[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
"define intent stnIntent: for group('guests') set quota('download', '8', 'gb/wk')","define intent hypIntent: for group('guests') set quota('download', '3', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') remove middlebox('unit firewall'), middlebox('network border system')","define intent hypIntent: for group('dormitory') remove middlebox('dpi'), middlebox('unit firewall'), middlebox('parental control')","[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2.5477820333241246, 5]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow service('bittorrent'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.40') block traffic('peer2peer'), traffic('H323 video conferencing')","[5, 1, 1440.0, 1, 0, 1, 1, 3.3454089184154707, 4, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]",1
define intent stnIntent: for group('guests') block service('Sorenson Videophone 200') traffic('torrent'),"define intent hypIntent: for group('guests') allow traffic('file sharing'), traffic('any') add middlebox('firewall')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0.5732838067052142, 3, 0, 0, 0, 1]",0
define intent stnIntent: for group('guests') allow service('Net2Phone') traffic('email'),"define intent hypIntent: for group('guest users') block protocol('snmp'), protocol('IMAP')","[5, 1, 1440.0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set quota('any', '8', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.69') set bandwidth('max', '60', 'mbps')","[5, 1, 1440.0, 0, 0, 1, 0, 3.272476776728894, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('copyright monitoring'), middlebox('traffics monitor'), middlebox('dpi') start hour('10:30') end hour('17:00')","define intent hypIntent: for group('dorms') remove middlebox('parental control'), middlebox('firewall'), middlebox('dpi')","[3, 1, 391.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.3024594820254047, 6]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') remove middlebox('load balancer'), middlebox('firewall') start hour('05:00') end hour('12:30')","define intent hypIntent: for group('dorms') remove middlebox('firewall'), middlebox('load balancer') start hour('16:10') end hour('18:10')","[3, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.926199010158225, 4]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.77') allow service('PC Telephone'), service('facebook')","define intent hypIntent: for group('guests') block protocol('sftp'), protocol('https')","[3, 1, 1440.0, 1, 0, 0, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 2, 0, 0]",1
"define intent stnIntent: for group('guests') add middlebox('network border system'), middlebox('firewall'), middlebox('ips')",define intent stnIntent: for group('dorms') allow traffic('any') protocol('icmp'),"[2, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow traffic('streaming'), traffic('email') start hour('12:20') end hour('17:10')","define intent hypIntent: for group('students') block traffic('streaming'), traffic('H323 video conferencing') start hour('10:00') end hour('17:40')","[3, 1, 291.0, 1, 2, 1, 0, 0, 2, 0, 0, 0, 1, 2.4912683864569347, 4, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow service('instagram'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.46') block service('bittorrent') traffic('gaming'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.3261229468184705, 4, 0.46551878536066266, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0
