repeat,feedback_round,text,recognized_entities,expected_entities,tp,fp,fn,recall,precision,f1_score
0,46,please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM  to 7PM,"@start,@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,@end,","@qos_constraint,@qos_metric,@qos_value,@qos_unit,@target,@start,@end,",7,0,0,1.0,1.0,1.0
0,47,set a maximum of 5 gbps to the servers from 4pm to 7pm,"@operation,@qos_value,@destination,@end,@start,","@operation,@qos_constraint,@qos_value,@qos_unit,@destination,@start,@end,",5,0,2,0.7142857142857143,1.0,0.8333333333333333
0,48,Remove nat for gateway everyday from 18:00 to midnight,"@operation,@target,@end,@middlebox,@start,","@operation,@middlebox,@target,@start,@end,",5,0,0,1.0,1.0,1.0
0,49,Let students access Facebook,"@operation,@service,@target,","@operation,@target,@service,",3,0,0,1.0,1.0,1.0
DATASET CASES TRAIN #,164
1,0,add dpi to labs network,"@middlebox,@operation,@destination,","@operation,@middlebox,@destination,@target,",3,0,1,0.75,1.0,0.8571428571428571
1,1,"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","@traffic,@operation,@target,","@origin,@operation,@target,@traffic,@destination,",3,0,2,0.6,1.0,0.7499999999999999
1,2,Add intrusion detection and address translation for servers network,"@middlebox,@middlebox,@operation,@target,","@operation,@middlebox,@middlebox,@target,",3,0,0,1.0,1.0,1.0
1,3,Students shall download no more than 1000000 megabytes per week,"@qos_value,@qos_constraint,@qos_unit,@qos_metric,","@group,@qos_constraint,@qos_metric,@qos_value,@qos_unit,",4,0,1,0.8,1.0,0.888888888888889
1,4,"Lumi, please set to 1 GB per day the download limit for guests","@target,@qos_unit,@qos_metric,@operation,@qos_value,","@operation,@qos_value,@qos_unit,@qos_metric,@target,",5,0,0,1.0,1.0,1.0
1,5,We provide a quota to all students of 1 GB/wk of usage.,"@target,@qos_unit,@qos_metric,@operation,@qos_value,","@qos_metric,@target,@qos_value,@qos_unit,",4,1,0,1.0,0.8,0.888888888888889
1,6,Dismiss rate limiting for faculty members,"@operation,@target,@qos_metric,","@operation,@qos_metric,@target,",3,0,0,1.0,1.0,1.0
1,7,prevent all f2movies traffic from reaching the students in the labs,"@operation,@service,@target,@target,","@operation,@service,@target,@target,",3,0,0,1.0,1.0,1.0
1,8,Limit in 10 Mbps the download rate of dorms from internet,"@qos_value,@origin,@qos_constraint,@qos_unit,@qos_metric,","@qos_constraint,@qos_value,@qos_unit,@qos_metric,@destination,@origin,",5,0,1,0.8333333333333334,1.0,0.9090909090909091
1,9,The UC Davis network is continually scanned for prohibited activities and network threats.,"@middlebox,","@target,@middlebox,",1,0,1,0.5,1.0,0.6666666666666666
1,10,"please lumi, define dorms quota to 10 gb per week","@qos_value,@qos_unit,@qos_metric,@operation,","@operation,@target,@qos_metric,@qos_value,@qos_unit,",4,0,1,0.8,1.0,0.888888888888889
1,11,Set users bandwidth to 500 kbps when the 100 Gb per month quota is reached,"@operation,@qos_value,@qos_value,@target,@qos_unit,@qos_unit,@qos_metric,@qos_metric,","@operation,@target,@qos_metric,@qos_value,@qos_unit,@qos_value,@qos_unit,@qos_metric,",5,0,0,1.0,1.0,1.0
1,12,limit the bandwidth in server racks to 5gbps between 4pm and 7pm,"@start,@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,@end,","@qos_constraint,@qos_metric,@target,@qos_value,@qos_unit,@start,@end,",7,0,0,1.0,1.0,1.0
1,13,Block streaming traffic on UFRGS,"@target,@traffic,@operation,","@operation,@traffic,@target,",3,0,0,1.0,1.0,1.0
1,14,Block torrent traffic for all students,"@target,@traffic,@operation,","@operation,@traffic,@target,",3,0,0,1.0,1.0,1.0
1,15,All network traffic passing in or out of Brown's network is monitored by intrusion detection system for signs of compromises,"@middlebox,","@target,@middlebox,",1,0,1,0.5,1.0,0.6666666666666666
1,16,"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","@middlebox,@operation,@operation,@service,@service,@service,@service,@service,@target,","@service,@service,@operation,@target,@middlebox,@service,@service,@service,@operation,",4,0,0,1.0,1.0,1.0
1,17,limit to 100 Mbps the bandwidth torrent traffic can consume,"@qos_constraint,@qos_unit,@qos_metric,@traffic,@qos_value,","@qos_constraint,@qos_value,@qos_unit,@qos_metric,@traffic,",5,0,0,1.0,1.0,1.0
1,18,We provide a data plan quota for all staff of 10 GB per day,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_metric,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
1,19,Email traffic is allowed for Staff members,"@operation,@service,@target,","@service,@operation,@target,",3,0,0,1.0,1.0,1.0
1,20,SMTP is allowed by the University firewall,"@middlebox,@operation,@protocol,@target,","@protocol,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
1,21,"Lumi, allow access to internal campus computers from the internet through SSH","@operation,@protocol,@origin,","@operation,@destination,@origin,@protocol,",3,0,1,0.75,1.0,0.8571428571428571
1,22,forward traffic for labs through the dpi,"@operation,@target,@middlebox,@traffic,","@operation,@traffic,@target,@middlebox,",4,0,0,1.0,1.0,1.0
1,23,"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail servers on ResNet or UIC wireless-connected devices","@traffic,@operation,@protocol,@protocol,@protocol,@protocol,@service,@target,@middlebox,","@operation,@protocol,@protocol,@traffic,@protocol,@service,@protocol,@service,@target,@target,",5,1,0,1.0,0.8333333333333334,0.9090909090909091
1,24,add shaping for gateway everyday from 18:00 to midnight,"@end,@middlebox,@start,@target,","@middlebox,@target,@start,@end,",4,0,0,1.0,1.0,1.0
1,25,All traffic from the Internet to the Labs has to go to DPI server and then goes to the Labs,"@traffic,@destination,@origin,@middlebox,","@traffic,@origin,@destination,@middlebox,",4,0,0,1.0,1.0,1.0
1,26,"Currently, the University of Illinois does not have any rate limits set in place","@qos_metric,@operation,@operation,@target,","@target,@operation,@qos_metric,",3,0,0,1.0,1.0,1.0
1,27,"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of per day, regardless of whether it is inbound or outbound over the commodity network link","@qos_value,@target,@qos_constraint,@qos_constraint,@qos_unit,@qos_metric,","@target,@qos_metric,@qos_value,@qos_unit,@qos_constraint,@qos_constraint,",5,0,0,1.0,1.0,1.0
1,28,From gateway to network add middlebox firewall,"@destination,@origin,@middlebox,@operation,","@origin,@destination,@operation,@middlebox,",4,0,0,1.0,1.0,1.0
1,29,We provide a quota to all students of 1 GB per week of usage,"@qos_unit,@qos_metric,@operation,@qos_value,@target,","@operation,@qos_metric,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
1,30,"Elements of network security currently include the following four solutions: Network Border Infrastructure System, Intrusion Prevention System, Firewalls and Custom Unit Firewalls","@operation,@middlebox,@middlebox,@middlebox,@middlebox,","@target,@operation,@middlebox,@middlebox,@middlebox,@middlebox,",2,0,1,0.6666666666666666,1.0,0.8
1,31,Net2Phone is allowed by the University firewall,"@middlebox,@operation,@service,@target,","@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
1,32,block traffic of the server racks,"@traffic,@operation,@target,","@operation,@traffic,@target,",3,0,0,1.0,1.0,1.0
1,33,Students have a quota of 5 GB per day The quota is reset at 6am,"@qos_value,@target,@qos_constraint,@qos_unit,","@target,@qos_constraint,@qos_value,@qos_unit,@hour,",4,0,1,0.8,1.0,0.888888888888889
1,34,Staff is allowed to access ftp,"@traffic,@operation,@protocol,@target,","@target,@operation,@protocol,",3,1,0,1.0,0.75,0.8571428571428571
1,35,Lumi monitors the network traffic,"@middlebox,@target,","@middlebox,@target,",2,0,0,1.0,1.0,1.0
1,36,Set 5gbps limit for servers during 4pm to 7pm,"@qos_constraint,@qos_unit,@end,@start,@operation,@qos_value,@target,","@operation,@qos_value,@qos_unit,@qos_constraint,@target,@start,@end,",7,0,0,1.0,1.0,1.0
1,37,limit the bandwidth to 5Gb for rack servers from 4 pm until 7 pm,"@qos_metric,@start,@qos_value,@qos_constraint,@qos_unit,@end,","@qos_constraint,@qos_metric,@qos_value,@qos_unit,@target,@start,@end,",6,0,1,0.8571428571428571,1.0,0.923076923076923
1,38,ACT/IT Infrastructure monitors traffic on the network for the purpose of maintaining proper network function,"@target,@middlebox,","@middlebox,@target,",2,0,0,1.0,1.0,1.0
1,39,Between internet and servers limit traffic to 5Gbps start 16:00 finish 19:00,"@start,@traffic,@qos_value,@destination,@origin,@qos_constraint,@qos_unit,@end,","@origin,@destination,@qos_constraint,@traffic,@qos_value,@qos_unit,@start,@end,",8,0,0,1.0,1.0,1.0
1,40,Sony Playstation 2 is allowed by the University firewall,"@middlebox,@operation,@service,@target,","@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
1,41,Remove firewall from the university to my house,"@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
1,42,Add parental control from my house to internet,"@origin,@middlebox,@operation,@destination,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
1,43,Forward all the external traffic to DMZ,"@target,@operation,@target,@target,","@operation,@origin,@destination,",1,1,2,0.3333333333333333,0.5,0.4
1,44,"There is a 6 GB per 24-hour period upload or download data transfer limit starting at midnight of each day, on all of your combined traffic on ResNet and UIC wireless","@qos_value,@qos_constraint,@qos_constraint,@qos_unit,@qos_metric,@start,","@qos_value,@qos_unit,@qos_constraint,@qos_constraint,@qos_metric,@start,@target,@target,",5,0,1,0.8333333333333334,1.0,0.9090909090909091
1,45,Block F2movies traffic from Internet to Labs,"@operation,@service,@destination,@origin,","@operation,@service,@origin,@destination,",4,0,0,1.0,1.0,1.0
1,46,"Please, Lumi, block Youtube and all other streaming traffic","@traffic,@operation,@service,","@operation,@service,@traffic,",3,0,0,1.0,1.0,1.0
1,47,limit network usage of all students in the dorms to no more than 10 gb per seven days,"@qos_metric,@qos_value,@target,@target,@qos_constraint,@qos_unit,","@qos_constraint,@qos_metric,@target,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
1,48,set quota to 10 GB per week at LAN,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",5,0,0,1.0,1.0,1.0
1,49,From university to internet add firewall,"@middlebox,@operation,@destination,@origin,","@origin,@destination,@operation,@middlebox,",4,0,0,1.0,1.0,1.0
DATASET CASES TRAIN #,166
2,0,SMTP is allowed by the University firewall,"@middlebox,@operation,@protocol,@target,","@protocol,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
2,1,Please add traffic shaper between the internet and the dorms,"@middlebox,@operation,@destination,@origin,","@middlebox,@origin,@destination,",3,1,0,1.0,0.75,0.8571428571428571
2,2,block all traffic for the server racks,"@traffic,@operation,@target,","@operation,@traffic,@target,",3,0,0,1.0,1.0,1.0
2,3,Set quota to 10 GB per week dorms,"@operation,@qos_value,@qos_unit,@qos_metric,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",4,0,1,0.8,1.0,0.888888888888889
2,4,add dpi to labs network,"@middlebox,@operation,@target,","@operation,@middlebox,@destination,@target,",3,0,1,0.75,1.0,0.8571428571428571
2,5,Remove load balancing from gateway to database,"@destination,@origin,@middlebox,@operation,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
2,6,"Lumi, block VoIP traffic from 00:00 to 06:00","@start,@traffic,@operation,@end,","@operation,@traffic,@start,@end,",4,0,0,1.0,1.0,1.0
2,7,Add intrusion detection and address translation for servers network,"@operation,@target,@middlebox,@middlebox,","@operation,@middlebox,@middlebox,@target,",3,0,0,1.0,1.0,1.0
2,8,add shaping for gateway everyday from 18:00 to midnight,"@end,@middlebox,@start,@target,","@middlebox,@target,@start,@end,",4,0,0,1.0,1.0,1.0
2,9,unblock facebook,"@operation,@service,","@operation,@service,",2,0,0,1.0,1.0,1.0
2,10,Remove nat for gateway everyday from 18:00 to midnight,"@end,@middlebox,@start,@operation,@target,","@operation,@middlebox,@target,@start,@end,",5,0,0,1.0,1.0,1.0
2,11,set quota to 10 GB per week at LAN,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",5,0,0,1.0,1.0,1.0
2,12,add security from entry to backend,"@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
2,13,"hey lumi, please allow traffic only from professors","@traffic,@operation,@target,","@operation,@traffic,@target,",3,0,0,1.0,1.0,1.0
2,14,SSH is allowed by the University firewall,"@operation,@protocol,@target,@middlebox,","@protocol,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
2,15,Block F2movies traffic from Internet to student Labs,"@operation,@service,@destination,@origin,","@operation,@service,@origin,@destination,",4,0,0,1.0,1.0,1.0
2,16,Add firewall from gateway to my house from 06:00 to 21:00,"@start,@target,@target,@end,@middlebox,","@operation,@middlebox,@origin,@destination,@start,@end,",3,1,3,0.5,0.75,0.6
2,17,We provide a data plan quota for all staff of 10 GB per day,"@target,@qos_unit,@qos_metric,@operation,@qos_value,","@operation,@qos_metric,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
2,18,Students 10 GB a day download quotas are on 10 AM to Midnight,"@target,@qos_constraint,@qos_unit,@end,@start,@qos_metric,@qos_value,","@target,@qos_value,@qos_unit,@qos_constraint,@qos_metric,@start,@end,",7,0,0,1.0,1.0,1.0
2,19,Between internet and servers limit traffic to 5Gbps start 16:00 finish 19:00,"@qos_unit,@end,@start,@traffic,@qos_value,@destination,@origin,@qos_constraint,","@origin,@destination,@qos_constraint,@traffic,@qos_value,@qos_unit,@start,@end,",8,0,0,1.0,1.0,1.0
2,20,Add a firewall and address translation for att and verizon,"@middlebox,@middlebox,@target,@target,","@middlebox,@middlebox,@target,@target,",2,0,0,1.0,1.0,1.0
2,21,"Lumi, please set to 1 GB per day the download limit for guests","@operation,@qos_value,@target,@qos_constraint,@qos_unit,@qos_metric,","@operation,@qos_value,@qos_unit,@qos_metric,@target,",5,1,0,1.0,0.8333333333333334,0.9090909090909091
2,22,"Lumi, setup a TCP accelerator between LAN and video server","@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
2,23,AIM chat and file transfering is allowed by the University firewall,"@operation,@service,@service,@target,@middlebox,","@service,@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
2,24,"Lumi, set to 10 kbps the upload rate for faculty","@target,@qos_unit,@qos_metric,@operation,@qos_value,","@operation,@qos_value,@qos_unit,@qos_metric,@target,",5,0,0,1.0,1.0,1.0
2,25,Dismiss all middleboxes from UFRGS to PUCRS,"@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
2,26,"Lumi, for the guest network, limit the traffic of torrent protocol to 100 mbps","@qos_unit,@qos_value,@target,@target,@qos_constraint,","@target,@qos_constraint,@target,@qos_value,@qos_unit,",4,0,0,1.0,1.0,1.0
2,27,Add monitor for the university from 4am to 10pm,"@middlebox,@start,@operation,@target,@end,","@operation,@middlebox,@target,@start,@end,",5,0,0,1.0,1.0,1.0
2,28,limit the bandwidth in server racks to 5gbps between 4pm and 7pm,"@end,@qos_metric,@start,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@qos_metric,@target,@qos_value,@qos_unit,@start,@end,",7,0,0,1.0,1.0,1.0
2,29,"Block all incoming HTTP traffic, allow only HTTPS for all hosts","@operation,@operation,@protocol,@protocol,@target,","@operation,@protocol,@operation,@protocol,@target,",3,0,0,1.0,1.0,1.0
2,30,inspect all internet traffic,"@middlebox,@traffic,@origin,","@middlebox,@traffic,@target,",2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,31,Battlenet is allowed by the University firewall,"@middlebox,@operation,@service,@target,","@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
2,32,University Housing monitors only the amount of traffic,"@middlebox,","@target,@middlebox,",1,0,1,0.5,1.0,0.6666666666666666
2,33,"Lumi, prohibit access to internal campus computers from the internet","@operation,@origin,","@operation,@destination,@origin,",2,0,1,0.6666666666666666,1.0,0.8
2,34,Staff is allowed to access ftp,"@operation,@protocol,@target,","@target,@operation,@protocol,",3,0,0,1.0,1.0,1.0
2,35,Balance traffic coming from gateway to application servers,"@destination,@origin,@middlebox,","@middlebox,@origin,@destination,",3,0,0,1.0,1.0,1.0
2,36,Between internet and servers limit traffic to 5Gbps interval 4pm to 7pm,"@start,@traffic,@qos_value,@destination,@origin,@qos_constraint,@qos_unit,@end,","@origin,@destination,@qos_constraint,@traffic,@qos_value,@qos_unit,@start,@end,",8,0,0,1.0,1.0,1.0
2,37,Net2Phone is allowed by the University firewall,"@middlebox,@operation,@service,@target,","@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
2,38,limit torrent traffic for guests to 100 Mbps,"@target,@qos_constraint,@qos_unit,@traffic,@qos_value,","@qos_constraint,@traffic,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
2,39,Email traffic is allowed for Staff members,"@operation,@service,@target,","@service,@operation,@target,",3,0,0,1.0,1.0,1.0
2,40,From dorms to internet add nat,"@middlebox,@operation,@destination,@origin,","@origin,@destination,@operation,@middlebox,",4,0,0,1.0,1.0,1.0
2,41,allow all traffic,"@traffic,@operation,","@operation,@traffic,",2,0,0,1.0,1.0,1.0
2,42,put a download quota for students of 10 gb per week,"@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@qos_metric,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
2,43,limit the bandwidth to 5Gb for rack servers from 4 pm until 7 pm,"@qos_value,@qos_constraint,@qos_unit,@end,@start,@qos_metric,","@qos_constraint,@qos_metric,@qos_value,@qos_unit,@target,@start,@end,",6,0,1,0.8571428571428571,1.0,0.923076923076923
2,44,Limit traffic to 10 GB per week at Dorms,"@qos_value,@target,@qos_constraint,@qos_unit,@traffic,","@qos_constraint,@traffic,@qos_value,@qos_unit,@target,",5,0,0,1.0,1.0,1.0
2,45,I want the torrent traffic from guest users to be no more than 100 mbps,"@qos_metric,@traffic,@qos_value,@target,@qos_unit,","@traffic,@target,@qos_metric,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
2,46,The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,"@qos_constraint,@qos_unit,@middlebox,@qos_value,","@target,@qos_value,@qos_unit,@qos_unit,@qos_constraint,",3,1,1,0.75,0.75,0.75
2,47,Housing does not normally limit the amount of bandwidth,"@qos_metric,@operation,","@target,@operation,@qos_metric,",2,0,1,0.6666666666666666,1.0,0.8
2,48,Grant SFTP access to all students from 08:00 to 17:00,"@end,@start,@operation,@protocol,@target,","@operation,@protocol,@target,@start,@end,",5,0,0,1.0,1.0,1.0
